edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,7,1,db5885cc-a745-47c5-b26e-bb4bdcc1fb2a,acd61d4e-1363-46fb-b040-a45edfbb9a1b,caa593c0-c0da-43b8-9146-ef0cd5d51a69,da9efbc2-cf73-41e2-886a-d7db880a4e1b
2,6,1,db5885cc-a745-47c5-b26e-bb4bdcc1fb2a,f1ead8b4-bfb1-4519-a7b6-40c66ecd2cb1,72cc16cf-89fd-4b53-9114-8c438b17b54f,da9efbc2-cf73-41e2-886a-d7db880a4e1b
3,8,5,db5885cc-a745-47c5-b26e-bb4bdcc1fb2a,86428c21-2260-4a9b-a90a-1323ebaa4567,11f7408e-84ad-430c-905a-361eb9426fb7,5ed4c231-10a1-47f9-8fdd-9bec2ea96242
4,4,8,db5885cc-a745-47c5-b26e-bb4bdcc1fb2a,4f4e5e81-8248-445a-875c-cd84c5951b94,02498913-43c5-4458-83de-e65444157e5b,11f7408e-84ad-430c-905a-361eb9426fb7
5,2,8,db5885cc-a745-47c5-b26e-bb4bdcc1fb2a,88e129d3-c3ab-4ad4-b578-13bb1b0932e6,5b18e284-7f68-4cb0-8b9b-b7ef0ea91fe8,11f7408e-84ad-430c-905a-361eb9426fb7
