edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,5,3,bd7d66bd-02bf-43fc-90d2-d88e3098b952,2762dac1-b10b-48ee-9e13-435903f0abfe,a2a2f7af-aa43-41a4-a790-f8c49c3a2c2a,3d24068a-fd0b-47f6-8f7a-e7b6754ef3be
2,4,3,bd7d66bd-02bf-43fc-90d2-d88e3098b952,12b19784-dabe-4895-8fa1-9ec6f405acdd,3fcc83b5-399e-42c8-a82f-96fae11ff131,3d24068a-fd0b-47f6-8f7a-e7b6754ef3be
3,5,4,bd7d66bd-02bf-43fc-90d2-d88e3098b952,877ff9b4-d6d1-43a9-9e73-8b09730dd11f,a2a2f7af-aa43-41a4-a790-f8c49c3a2c2a,3fcc83b5-399e-42c8-a82f-96fae11ff131
4,3,1,bd7d66bd-02bf-43fc-90d2-d88e3098b952,61acbc14-7086-4ca6-b390-e5cf922f8dc8,3d24068a-fd0b-47f6-8f7a-e7b6754ef3be,8b5cf28e-9de1-4da2-9f79-d70c73b98c1e
5,4,1,bd7d66bd-02bf-43fc-90d2-d88e3098b952,f57af5e9-7374-4158-9527-c83176909e79,3fcc83b5-399e-42c8-a82f-96fae11ff131,8b5cf28e-9de1-4da2-9f79-d70c73b98c1e
6,5,1,bd7d66bd-02bf-43fc-90d2-d88e3098b952,9b56fc27-d1b3-488c-ab7f-eb7018e48030,a2a2f7af-aa43-41a4-a790-f8c49c3a2c2a,8b5cf28e-9de1-4da2-9f79-d70c73b98c1e
7,1,6,bd7d66bd-02bf-43fc-90d2-d88e3098b952,7147dc9c-91ff-4221-810b-940dc4a0b68c,8b5cf28e-9de1-4da2-9f79-d70c73b98c1e,59a8174d-6082-4099-8846-cd0c8f17e0a6
8,6,2,bd7d66bd-02bf-43fc-90d2-d88e3098b952,64e7b332-78ae-4d91-a177-31b2d53c9b59,59a8174d-6082-4099-8846-cd0c8f17e0a6,1e44263a-d0c2-46d8-9208-8290f9909644
